customer_id,age,gender,location,income,loyalty_score,last_purchase_days
1000,56,F,Rural,48601.592388907084,1.8190188194619725,330
1001,69,F,Rural,54656.50145890204,7.537573293852054,353
1002,46,M,Suburban,49313.02077375367,5.927016762092004,118
1003,32,M,Urban,63953.317490517824,5.05819402674494,294
1004,60,F,Suburban,33506.681907921025,9.194241505629456,159
1005,25,M,Urban,85642.84959041036,3.6816350638775543,303
1006,38,M,Rural,60289.87933998539,5.712420484135101,228
1007,56,M,Urban,89015.0371842668,7.27877684344117,216
1008,36,F,Urban,64685.69588690085,8.168245981064896,184
1009,40,F,Urban,91345.23020755107,5.134121271515552,15
1010,28,F,Rural,60656.2112517816,8.578822735168387,157
1011,28,M,Rural,53462.50754123128,7.920259671838577,136
1012,41,M,Urban,74643.37088640656,1.5961238006667928,261
1013,53,F,Urban,92360.13228227454,1.4127513976416965,157
1014,57,F,Suburban,61350.29440078777,6.5872511597988215,47
1015,41,F,Urban,114298.33366701365,4.1267206740287286,324
1016,20,F,Suburban,33526.76940080816,2.8821771197066277,332
1017,39,M,Urban,67615.14285440209,6.216849410245645,173
1018,19,F,Suburban,117082.24963682228,4.074068894108905,130
1019,41,M,Rural,79317.46949232786,5.83537075042663,95
1020,61,F,Urban,68112.38480773068,5.141072430852148,115
1021,47,M,Urban,81166.82553749625,6.262894953542383,243
1022,55,F,Urban,81833.21177322761,4.602704400192533,292
1023,19,F,Urban,95848.29797696762,7.279008163272386,282
1024,38,F,Suburban,41492.0756480219,2.6206054511436867,299
1025,50,F,Urban,52501.480429449424,7.268513196043711,283
1026,29,M,Rural,82248.96111095189,4.704950929217754,69
1027,39,F,Rural,108040.49464887498,8.868858443689753,148
1028,61,M,Urban,80568.00229293962,5.637124493777898,11
1029,42,M,Rural,51473.71738113061,9.757993143430939,254
1030,66,M,Urban,91186.03019102212,6.417418559868642,330
1031,44,M,Urban,96591.78844026371,3.0146415931568855,360
1032,59,F,Rural,51441.25371635815,8.396115731600043,38
1033,45,M,Urban,63995.59975586654,4.105743650401481,134
1034,33,M,Rural,78089.47261775071,4.128572930344152,200
1035,32,M,Suburban,74690.507161477,1.2862421333664862,23
1036,64,F,Urban,65065.62775972831,5.938437782866678,303
1037,68,F,Suburban,56787.16570583798,5.809811533592707,346
1038,61,F,Rural,38998.639844567704,4.2039233584478755,302
1039,69,F,Suburban,34813.6767072632,9.04795536606333,363
1040,20,M,Suburban,116268.73471948785,2.158735584696795,218
1041,54,M,Rural,106242.88296860308,3.9708956197913987,141
1042,68,F,Suburban,61941.467141644855,3.894244882120261,104
1043,24,M,Suburban,116112.07966138107,1.8306152760587149,210
1044,38,M,Rural,90909.2913981873,5.330308546506639,111
1045,26,M,Suburban,73426.88546783783,7.190062453864747,104
1046,56,F,Rural,74372.30919946244,5.604913121925351,316
1047,35,F,Suburban,37495.597007573364,2.4127991444457435,171
1048,21,M,Rural,38253.3732532633,4.395573687178653,356
1049,42,F,Rural,84219.6833311007,1.023355219452819,324
1050,31,F,Suburban,79833.27471112207,8.814709963320281,133
1051,67,F,Suburban,49145.51055218061,1.7606530691261373,293
1052,26,F,Suburban,115157.50885935212,6.375502740298875,328
1053,43,F,Urban,100316.64454240823,9.876312962801336,127
1054,19,M,Urban,40211.81418157032,5.829315813885993,106
1055,37,F,Urban,113783.61951185633,9.316375831966898,92
1056,45,M,Rural,117682.33876809692,3.125048798056639,287
1057,64,M,Suburban,119633.81178272962,7.839598680438271,51
1058,24,F,Rural,35028.4039209615,5.781391785761806,29
1059,61,M,Urban,96333.2001111908,7.484644552523184,296
1060,25,M,Suburban,79132.419314849,1.561072262601173,297
1061,64,M,Rural,93524.83354908251,2.3296518271560402,214
1062,52,F,Suburban,117178.67495767213,2.1980523572873043,267
1063,31,F,Rural,91922.70091575352,7.18448954862998,257
1064,34,M,Suburban,105326.74868136365,8.599966053702659,302
1065,53,F,Urban,108018.18347797572,7.746546088077286,101
1066,67,F,Urban,105463.26873875865,1.2742493746023476,346
1067,57,F,Suburban,68348.23275422471,8.80493482967251,110
1068,21,F,Rural,50031.87758139275,4.187320037138129,182
1069,19,M,Urban,65698.64417588267,4.574474492536742,313
1070,23,M,Urban,110270.72178990989,1.9438224987923283,1
1071,59,F,Urban,43194.43395228229,7.636646854844372,319
1072,21,F,Suburban,76199.35518231537,2.6405549062836227,55
1073,46,M,Suburban,50990.5265182075,6.075685828169528,149
1074,35,M,Rural,82317.48755041041,8.566389872901379,309
1075,43,F,Rural,107682.46697901035,1.8028389584085058,137
1076,61,M,Rural,109232.39717745752,5.818020076139712,202
1077,51,F,Suburban,51301.66743138709,3.0989477039482107,313
1078,27,F,Suburban,111692.43357136917,4.086341778504343,117
1079,53,M,Rural,83269.98649391558,5.265729472875005,154
1080,31,M,Rural,61519.64220302822,4.195938729513743,291
1081,48,F,Suburban,93736.30760248798,6.839405562624184,63
1082,65,F,Rural,73350.02891677039,5.316238915788252,244
1083,32,M,Urban,64018.8831110029,6.257795362427523,25
1084,25,F,Suburban,93457.59278669939,7.631402278554216,90
1085,31,M,Rural,52385.173898725916,6.019680393553937,75
1086,40,F,Suburban,59722.72761171887,6.278818911946832,294
1087,57,M,Urban,69100.66600394441,6.080126882703771,210
1088,38,M,Suburban,52831.39564858249,4.408953633561604,347
1089,33,M,Suburban,66468.18781032754,4.037021504847263,17
1090,62,F,Suburban,81432.57226845095,9.09682657430511,128
1091,35,F,Suburban,96687.64748196014,6.467997000642155,364
1092,64,M,Urban,99047.53677977146,3.199178399181891,251
1093,41,F,Suburban,104051.13166890238,5.484229280640462,179
1094,43,M,Suburban,96979.04912489682,3.973136331528226,182
1095,42,M,Rural,91293.5484387218,9.40322641383887,152
1096,62,F,Suburban,51375.58241632229,1.0678092682066727,25
1097,58,F,Rural,66020.06035848224,3.027995179412754,180
1098,46,M,Urban,72994.34017922048,4.288211377066519,198
1099,32,F,Urban,37460.21895240188,5.390288207278641,344
1100,62,F,Urban,77553.31091674883,8.657357660525317,161
1101,18,M,Urban,69270.22484459003,1.7909886208612948,177
1102,42,M,Rural,102189.83241240607,8.25278398067029,285
1103,24,F,Suburban,118011.06018788437,1.500881404212778,63
1104,26,M,Urban,80040.4534778326,8.580826317683634,150
1105,41,M,Suburban,59041.774944982535,1.4647193008706156,154
1106,18,F,Rural,33906.07049683555,1.1641823328552494,156
1107,61,M,Rural,113217.89972012363,7.272653161297794,49
1108,25,M,Rural,112720.41437507934,9.97529981291555,337
1109,41,F,Urban,52769.1151190317,9.069492366766188,84
1110,28,F,Suburban,92587.00107959828,6.183985760250939,361
1111,68,M,Suburban,36789.10923807923,9.256560517769785,177
1112,34,M,Suburban,44959.388871832765,1.0477000575784488,148
1113,25,F,Rural,49512.81959278421,9.775604466506282,118
1114,52,F,Urban,56504.45521554869,5.41673901332906,342
1115,52,F,Rural,119624.82375264337,7.506064869595981,63
1116,50,F,Rural,92723.25502774333,8.387753258380172,189
1117,22,M,Suburban,64578.164824129795,7.466115437528983,360
1118,59,F,Rural,96339.06352587174,5.815330588404195,49
1119,56,F,Suburban,112372.89075021957,5.289575357137708,327
1120,58,M,Urban,116283.21666670615,8.547243028323622,257
1121,45,F,Suburban,35207.750798193665,2.845698041345132,224
1122,24,M,Urban,65506.961874731685,9.711946598538109,141
1123,26,F,Suburban,39608.045934229594,7.398572309530735,215
1124,25,F,Rural,60209.40583172669,2.795562346044878,211
1125,29,F,Rural,45271.1913506009,7.6262246532863935,318
1126,51,M,Urban,88216.35255018514,5.76856020863005,32
1127,50,M,Urban,64944.15455908849,7.3650708608,158
1128,65,F,Urban,50645.52711344547,7.910015512985549,285
1129,40,M,Suburban,53934.41324678151,1.785611616307079,305
1130,41,M,Suburban,62431.05856847414,5.554935607234123,286
1131,54,M,Urban,53395.48765688364,9.388129080312407,144
1132,52,M,Rural,70791.6762145948,3.8857797294356287,19
1133,61,M,Suburban,32908.43559986854,6.344947878021089,18
1134,57,M,Suburban,55178.71564520511,4.323074333589065,257
1135,39,F,Suburban,67008.60487849676,5.088411749971897,78
1136,44,F,Urban,84250.36938209686,5.937428061443379,175
1137,52,M,Urban,54386.18782636169,5.940297819000795,194
1138,18,F,Urban,41986.66127013747,2.8155741609721225,113
1139,52,F,Urban,36858.03416392468,7.1611439309185,114
1140,54,F,Urban,114647.86444218451,1.7908130011839112,222
1141,64,F,Rural,67497.51519646312,2.2494229609781833,166
1142,31,M,Rural,82304.63590627437,1.024398094728967,319
1143,20,F,Urban,112725.88966520036,2.050264577275132,132
1144,18,F,Suburban,37447.357803177554,5.25849580946703,264
1145,22,M,Urban,108899.53373332134,6.454916929502548,55
1146,43,M,Rural,79642.9085289663,8.148605049698162,359
1147,31,F,Rural,44835.08350233009,1.9602932510209246,131
1148,56,F,Suburban,67012.96049268323,8.656547140148092,288
1149,44,F,Rural,99984.2055361703,7.713770729938463,266
1150,26,F,Urban,73233.30736797192,4.6766646364232525,162
1151,32,F,Suburban,118675.7445598954,9.396442603899592,87
1152,32,F,Urban,63906.50729441467,9.918365288116515,55
1153,43,M,Urban,97462.04699784648,2.845016290479135,288
1154,59,F,Suburban,65369.05040809732,4.413057264674204,178
1155,30,F,Urban,104624.7798635863,9.3380448123074,349
1156,68,M,Rural,81217.33222491728,7.494368956761495,8
1157,49,M,Urban,35716.06466310012,1.4328517956767892,321
1158,56,M,Suburban,33313.96808723923,8.033630335762734,313
1159,66,M,Suburban,42046.69069205699,8.451467984597429,247
1160,69,F,Suburban,31230.476834429755,7.754517322887821,323
1161,49,F,Urban,36782.31543172161,8.195834178275641,255
1162,21,F,Suburban,92254.29574520208,8.426194090235175,328
1163,47,F,Suburban,78091.16475265168,2.677644881093297,54
1164,54,F,Urban,97491.96745229747,3.1212257145849978,249
1165,40,F,Rural,112184.91770318785,6.7038270734815955,239
1166,56,M,Urban,82663.45790929248,9.170795174162643,229
1167,62,F,Suburban,95350.87596646632,3.8457692406684516,67
1168,32,M,Suburban,98137.30818382103,6.29476008215551,51
1169,60,M,Urban,64006.54943482078,7.146838570754191,97
1170,46,F,Rural,51697.63490966687,5.067537411691353,92
1171,53,M,Suburban,48454.07956558724,7.424042093697934,264
1172,30,F,Suburban,52629.81955606186,9.097007007629559,291
1173,49,M,Suburban,54725.86173233179,6.616913897636539,96
1174,24,F,Urban,48650.488410725084,5.858029557231697,88
1175,68,M,Suburban,109039.8600731273,4.948702078495051,78
1176,39,F,Rural,98129.92189550058,6.197376438155131,288
1177,45,F,Suburban,34220.68210120979,4.198262066365563,120
1178,19,F,Suburban,54180.523382277664,4.523338991813517,302
1179,59,F,Rural,31996.626782727148,5.786717317193566,165
1180,62,F,Suburban,74834.86679813036,1.5995720115173526,182
1181,23,M,Urban,72858.96271101128,3.0612285183231673,223
1182,45,M,Urban,104823.43410562511,5.88564379552068,311
1183,45,M,Urban,57699.951579394445,4.883753288227983,7
1184,61,F,Rural,103474.7161691756,3.995342073212359,330
1185,61,M,Suburban,117117.63888958408,7.574942231283713,263
1186,37,F,Urban,37956.740102908196,7.243458466630046,161
1187,47,F,Rural,101263.60555226696,2.5005768399404484,151
1188,28,M,Suburban,83096.03074238724,8.907662038360943,85
1189,45,M,Rural,73204.13703166276,5.458812637635691,147
1190,42,F,Urban,67848.22007985675,7.673148200251409,112
1191,56,M,Urban,100620.14375498786,6.158357643316498,36
1192,50,F,Urban,87542.52212768182,9.979233543314589,285
1193,18,F,Rural,102454.02007674257,7.771628080349404,188
1194,44,F,Rural,111283.59528089636,7.362824151191131,82
1195,69,F,Urban,85553.73408875629,8.00714745145676,2
1196,30,F,Rural,118241.645258314,2.2881518699362267,303
1197,58,M,Urban,84727.90645876966,2.8409013385251694,197
1198,20,M,Urban,87297.98894600544,7.4265767400125275,11
1199,56,F,Suburban,79933.4047688003,5.445833384177764,234
